New Road, Forfar, DD8 2AE
King's Cross Road,  DD2 3PT
41 Dock Street, Dundee, DD1 3DR
39 Arthurstone Terrace, Dundee, DD4 6QY
19 Dalgleish Street, Tayport, DD6 9BB
146 Pitkerro Road, Dundee, DD4 8ER
Adelaide Place, Dundee, DD3 6LE
Hyndford Street, Dundee, DD2 1HQ
484 Perth Road, Dundee, DD2 1LR
31 Church Road, Dundee, DD2 5NN
Glamis Road, Dundee, DD2 2UB
33 Blackness Avenue, Dundee, DD2 1EY
Fort Street, Dundee, DD2 1BS
1 Logie Street, Dundee, DD2 2QF
28A Dura Street, Dundee, DD4 6RX
12 South Esk Road, Forfar, DD8 3SJ
71 Lothian Crescent, Dundee, DD4 0HU
6 Lownie Road, Forfar, DD8 2RT
214 Broughty Ferry Road, Dundee, DD4 6LD
541 South Road, Dundee, DD2 4FP
296A Strathmore Avenue, Dundee, DD3 6SH
Roseberry Street, Dundee, DD2 2NS
1 Pitfour Street, Dundee, DD2 2NT
28 Railton Gardens, Arbroath, DD11 3FA
Commerce Street, Brechin, DD9 7BD
135 Rosebank Street, Dundee, DD3 6PP
