New Road, Forfar, DD8 2AE
28A Dura Street, Dundee, DD4 6RX
Fort Street, Dundee, DD2 1BS
541 South Road, Dundee, DD2 4FP
146 Pitkerro Road, Dundee, DD4 8ER
135 Rosebank Street, Dundee, DD3 6PP
Ballumbie Road, Dundee, DD4 0PD
Derwent Avenue, Dundee, DD3 0AX
31 Step Row, Dundee, DD2 1AH
Auldbar Road, Forfar, DD8 2PD
31 Church Road, Dundee, DD2 5NN
2 Dalgleish Road, Dundee, DD4 7JR
Gray Den, Dundee, DD2 5LR
6 Lownie Road, Forfar, DD8 2RT
22 Marine Parade Walk, Dundee, DD1 3AU
1 Logie Street, Dundee, DD2 2QF
2 Alex King Way, Arbroath, DD11 2AS
41 Dock Street, Dundee, DD1 3DR
150 Strathmartine Road, Dundee, DD3 7SE
Dundee Road, Arbroath, DD11 2NQ
23 City Road, Dundee, DD2 2BL
3 Boniface Place, Dundee, DD2 5DR
71 Lothian Crescent, Dundee, DD4 0HU
214 Broughty Ferry Road, Dundee, DD4 6LD
Minto Place, Dundee, DD2 1BR
King's Cross Road,  DD2 3PT
St Mary's Lane, Newport-on-Tay, DD6 8AH
Kirsty Semple Way, Dundee, DD2 4BF
East School Road, Dundee, DD3 8NX
